Date,open,high,low,close,volume,returns,log_returns,dollar_vol
2018-01-02,382.71367425703727,388.86912843340116,375.5322911729812,386.4264831542969,1219713,0.0150135545714285,0.014901966662148375,471329405.0475769
2018-01-03,388.86910202193104,389.16220750853734,375.2880011560109,376.80242919921875,2275082,-0.02490526497179879,-0.02522064857292993,857256424.227417
2018-01-04,381.0526682918233,392.7285247985134,378.36575845130403,389.84619140625,2974278,0.034616980136651154,0.034031290724636405,1159510950.4833984
2018-01-05,391.80030991462877,402.5479493387208,388.86913552624003,397.66265869140625,3554479,0.02005013119907817,0.019851774322835174,1413483569.402771
2018-01-08,400.5937906525983,418.4739406010901,400.15410261392856,412.41619873046875,3806105,0.037100642256962635,0.036428975894974465,1569699356.0690308
2018-01-09,414.2726212686567,437.3800386377235,412.9535869119772,425.5087890625,6183645,0.03174606228449295,0.03125257310292023,2631195295.942383
2018-01-10,427.95144957251927,431.7619702148126,417.203810428004,419.4021911621094,2374166,-0.014351284996591884,-0.01445526067575543,995730422.5825806
2018-01-11,414.27264254618933,439.48073009489826,414.27264254618933,436.4518737792969,2604294,0.04065234511518656,0.03984777142958909,1136648996.1721802
2018-01-12,439.43185226534194,448.17653362594933,434.10687403520416,445.4896240234375,5364763,0.02070732373281281,0.020495841607621617,2389946251.8448486
2018-01-15,449.44673562818747,476.80436301425107,446.5155612653949,463.9560546875,5635852,0.041451988257959815,0.04061588200817202,2614787658.7226562
2018-01-16,468.8901776193622,482.9598083376671,460.438630992746,471.57708740234375,8288750,0.016426195192078996,0.016292744654472818,3908784583.2061768
2018-01-17,474.2639977935409,476.99977837564427,459.2173089530372,467.4245910644531,5691140,-0.008805551518129118,-0.00884454948810394,2660178787.1905518
2018-01-18,472.1144331235484,478.5629920094474,467.0337196439589,473.9219665527344,1772870,0.013900371551879509,0.013804647434441666,840202036.8423462
2018-01-19,478.0256917444469,480.0775197879842,466.0567296108353,470.4534912109375,3488403,-0.007318663380442625,-0.007345576188200011,1641131370.100708
2018-01-22,470.4534640695442,477.63484689889253,458.2402381071989,459.4127197265625,3825798,-0.02346835912718237,-0.02374812686283329,1757620264.3044434
2018-01-23,463.3698235251367,463.3698235251367,444.07292523389486,448.0299987792969,3561221,-0.02477667782912174,-0.02508878583147735,1595533840.2828064
2018-01-24,447.0041059465739,449.44675133426006,437.7220534733663,444.80572509765625,2072037,-0.007196557575219309,-0.007222577707762372,921653920.2141724
2018-01-25,444.5614800936934,449.44677108373395,436.74501450962845,438.2106018066406,1194340,-0.014826974831692374,-0.014937993167123798,523372450.16174316
2018-01-29,436.74492170307207,442.216452412729,434.20456496457666,435.1327819824219,1113037,-0.007023608766035361,-0.007048390411980861,484318886.2593689
2018-01-30,433.8137975622254,437.81974174644705,407.4332287915495,412.1719665527344,3583717,-0.052767376719079384,-0.054210573637096915,1477107683.4584656
2018-01-31,408.8011209141633,422.968463982342,386.23107185585104,417.2038269042969,14738305,0.012208157662073171,0.012134239103512042,6148877248.082733
2018-02-01,420.0861273956902,441.6302458236022,413.295561910141,437.9662780761719,4965461,0.049765725606917055,0.04856702080520042,2174704473.1023865
2018-02-02,430.8826433548421,444.56145742959905,420.135003724676,432.2505187988281,5311751,-0.013050683496572013,-0.013136591927522956,2296007125.480194
2018-02-05,418.3762453877564,433.8137497818446,412.6604501534934,431.5665283203125,2268830,-0.00158239365545787,-0.001583646962622985,979151086.4489746
2018-02-06,408.4102671206191,430.58949690319076,407.48205004109406,428.7330627441406,1893871,-0.006565535995573857,-0.006587183932592884,811965114.2723083
2018-02-07,432.8367526115428,438.99220691809126,421.1120550238712,423.505859375,1048027,-0.012192209613327898,-0.012267144303480155,443845575.2832031
2018-02-08,424.92253524595543,434.5465628946894,424.87369427097786,431.3711242675781,927897,0.018571797103788645,0.018401447183802037,400267972.09451294
2018-02-09,420.42806393324554,435.7678871337665,420.42806393324554,429.4658508300781,1008995,-0.004416784829385456,-0.00442656763983997,433328896.1582947
2018-02-12,431.8596820064905,440.65320494327426,425.0691162561065,431.61541748046875,1944360,0.005005209718621284,0.004992725297226399,839215753.1323242
2018-02-14,431.6642634211415,432.7390333114824,421.11204770267074,421.99139404296875,2159701,-0.0222976822600075,-0.02255003386884915,911375235.7059937
2018-02-15,423.06616945619936,426.9744019684968,418.18087881582755,422.089111328125,506167,0.00023156227007392616,0.00023153546366961998,213647579.21362305
2018-02-16,424.1897355541524,425.3133463193178,416.81295939300816,421.55169677734375,522734,-0.0012732253364466928,-0.0012740365764927423,220359404.663208
2018-02-19,422.0890767441839,429.31930033603504,417.00836296750725,425.89959716796875,693977,0.010314038405879078,0.010261211639460203,295564524.74383545
2018-02-20,429.41702871026325,431.8596739247699,422.67533388171427,424.53173828125,781850,-0.00321169330944282,-0.0032168618659122144,331920139.5751953
2018-02-21,428.8307756903695,440.1646551265967,426.1438660308841,439.2853088378906,1312613,0.034752573780164386,0.03416233898853943,576611607.0896301
2018-02-22,436.94040876652775,444.0729212065627,433.7160990389157,440.4577941894531,772690,0.0026690748084980953,0.0026655191537984318,340337332.99224854
2018-02-23,441.7279660464846,460.8783104696658,441.6790952517828,458.09368896484375,1849448,0.04003991984713284,0.0392590968850134,847220456.8686523
2018-02-26,461.95303565372654,461.95303565372654,450.7657388343819,457.5562744140625,920977,-0.0011731542340075451,-0.001173842918110401,421398804.94104004
2018-02-27,457.1654949815793,466.83836454567296,449.44674168568434,458.2402648925781,1378658,0.0014948772790659426,0.0014937610622924723,631756607.116272
2018-02-28,456.7746866158455,457.26321569244,449.4467504669282,450.6192321777344,1358563,-0.016631084823221065,-0.01677093404550196,612194615.9250793
2018-03-01,451.30310735725243,453.6969115068671,439.7738342935729,440.6043395996094,1102928,-0.022224734017066816,-0.022475424736449236,485954863.06591797
2018-03-05,439.6761504753135,445.6850519016533,437.81974602568494,442.5096130371094,1249630,0.004324227580761786,0.004314904974395392,552973287.739563
2018-03-06,446.5154868776462,446.9063040974204,434.8885031390691,437.0868835449219,1595634,-0.01225448969338605,-0.012330195075187431,697430692.3383179
2018-03-07,436.2075899987641,437.2823300285096,425.02026310051906,427.5117492675781,2900233,-0.021906706967928624,-0.022150221848478945,1239883683.113556
2018-03-08,430.88260134380835,431.85965939674213,417.8877411667669,420.6723327636719,1951335,-0.01599819540778391,-0.016127547996386334,820872646.4533997
2018-03-09,424.77599448008675,424.9714180203969,413.29556219684116,415.78704833984375,1494497,-0.01161303951637016,-0.011680997504654072,621392496.3827515
2018-03-12,420.0861291124947,423.40812058691864,415.73820877413,420.5257873535156,884484,0.011397033728185457,0.011332576821977412,371948330.5015869
2018-03-13,422.04027076050403,435.27939648185054,419.9395719291362,431.81085205078125,1396863,0.026835606844197724,0.02648184690112999,603180602.2282104
2018-03-14,431.8108458796883,437.62432377385306,429.9055706283338,435.0351257324219,872703,0.007466865796280198,0.007439126750777331,379656459.33206177
2018-03-15,434.7908732986502,440.6532221521151,433.422997862998,438.30828857421875,656358,0.007523904733637732,0.007495741339992317,287687151.6719971
2018-03-16,440.6043707604241,440.6043707604241,426.09505172746645,433.1298522949219,553113,-0.011814598113446428,-0.011884945107698788,239569751.99240112
2018-03-19,429.90555314597975,432.543621876354,415.24968201600313,416.1290283203125,697119,-0.0392511019144286,-0.04004219646933103,290091452.0936279
2018-03-20,415.20084527661055,418.81594230176484,410.0224195340353,413.1490173339844,1782357,-0.007161266779096898,-0.007187031730184965,736379043.0883484
2018-03-21,416.9106623811658,427.95140590329146,409.63156832181494,412.8070068359375,1341420,-0.0008278138969174398,-0.0008281567240525066,553747575.1098633
2018-03-22,417.0083387389125,419.89067174008017,414.46801181561506,417.6922912597656,1267475,0.011834305966055725,0.011764828177617962,529414536.86447144
2018-03-23,410.36436843901396,421.1120066600357,406.5538481241406,419.304443359375,939860,0.0038596644787174395,0.003852235084283804,394087474.1357422
2018-03-26,419.1579146439602,428.9284954048917,417.44806301079717,427.5117492675781,675696,0.019573620165930006,0.019384520456528873,288867978.93310547
2018-03-27,429.9543810262467,439.08987971581837,429.9543810262467,438.3570861816406,1231929,0.025368511935971227,0.025052071817133873,540024806.8226624
2018-03-28,432.34822180802394,449.4467390546689,432.34822180802394,444.0240783691406,1217753,0.012927798742488728,0.012844948039799495,540711653.5062561
2018-04-02,446.1247357487156,475.8272961134585,446.1247357487156,471.57708740234375,2112175,0.0620529614844374,0.060203791147334706,996053334.5840454
2018-04-03,473.67774982879604,496.63861493040645,471.1374226502347,482.27587890625,3149584,0.022687258965103485,0.022433730519218372,1518968391.7890625
2018-04-04,483.6437683180091,492.43729137833657,477.6837078358533,484.4742736816406,1687239,0.004558375966005945,0.004548018035249317,817423889.0523376
2018-04-05,490.2877423580764,494.2448455511641,475.87613539174606,486.5260925292969,1710038,0.004235145102884363,0.004226202116867403,831978106.2166138
2018-04-06,486.3794848351828,492.8280739216736,482.6666761761902,484.9627685546875,1505952,-0.0032132376836813137,-0.003218411217388869,730330651.2304688
2018-04-09,485.0605059234516,499.178977585303,478.75846924820564,480.71258544921875,2704392,-0.0087639369061987,-0.008802566062512436,1300035270.3881836
2018-04-10,483.59491339437994,494.2936815854718,480.8102918754161,491.9975891113281,1439138,0.023475573562451446,0.02320426023837772,708052426.3984985
2018-04-11,489.99458048115855,496.05235192754407,483.64370356565,488.28472900390625,2556799,-0.007546500612184426,-0.007575119520581845,1248445906.8324585
2018-04-12,488.52906191494867,489.9946491006935,485.9887048295014,488.13824462890625,870497,-0.0002999978625152222,-0.0003000428708758121,424922877.534729
2018-04-13,488.773306228578,490.04346981003954,486.1841082710164,488.3336181640625,990964,0.0004002422209403722,0.00040016214538835925,483921035.59033203
2018-04-16,484.3277227576444,488.82216626261527,481.4453893722218,483.3995056152344,839503,-0.010103978848268524,-0.010155370509112933,405815335.1625061
2018-04-17,486.0863975454748,488.82214825794813,474.8502295620116,480.02862548828125,1325820,-0.006973280046414065,-0.0069977069872182735,636431552.244873
2018-04-18,484.62080310583116,488.7732999066372,476.80433853960807,481.836181640625,1042991,0.0037655174220185827,0.003758445608422841,502550800.9255371
2018-04-19,489.5061460644628,499.2767278222365,485.6956251424209,491.94879150390625,4279631,0.020987651506054084,0.020770444600137706,2105359298.5326538
2018-04-20,491.26479853124425,491.7044866012345,482.6666992171085,484.2788391113281,1683866,-0.015590956874049433,-0.01571377407310523,815460671.6990356
2018-04-23,485.011629629676,485.45131769689823,477.78140573138165,482.27587890625,1348271,-0.004135964744512943,-0.004144541503648046,650238581.5288086
2018-04-24,484.42535735374804,491.4601870677796,477.879086470151,488.0893249511719,2176962,0.012054192007500353,0.011982118846081127,1062551913.024353
2018-04-25,487.5519845062031,503.0872319145663,483.643752165472,498.8858642578125,3740225,0.022120007045269174,0.02187890861124229,1865945381.6436768
2018-04-26,501.18189837421806,524.4847071389725,501.18189837421806,520.8207397460938,4445968,0.043967722999956216,0.04302857231580838,2315552342.647461
2018-04-27,525.559585816366,534.3042082693787,505.1390472849321,507.23974609375,2924033,-0.02607613832537592,-0.026422149160368474,1483185756.489746
2018-04-30,508.07022277214014,513.6883069662551,502.5009795570819,506.1649475097656,1988145,-0.002118916335443699,-0.0021211644148848865,1006329309.566803
2018-05-02,508.80304024669715,513.248642977658,496.443260402946,498.2508239746094,1474785,-0.01563546344742406,-0.01575898655852417,734812841.4353943
2018-05-03,498.83700256357946,499.17897886312153,481.6896447827739,484.6208190917969,1926354,-0.027355709668644868,-0.027736843974679126,933551253.3407593
2018-05-04,478.85615716599506,493.3166044061197,478.85615716599506,488.8710021972656,1276630,0.008770120758397892,0.008731886631993183,624107387.5350952
2018-05-07,491.02056411536006,493.21894496521634,485.79332683743854,488.4313659667969,1484565,-0.0008992888277127298,-0.0008996934304985846,725108110.8164978
2018-05-08,491.75336331289117,502.1590566409306,487.5520251235754,498.2508239746094,1444181,0.020104069255208357,0.01990465077318461,719564373.2184753
2018-05-09,500.1559914891011,506.1160513390147,499.2766452398388,502.94061279296875,1600419,0.009412505896023049,0.009368484282607472,804915712.5855103
2018-05-10,505.1390887563025,508.9496395854067,497.8111522656405,505.7742004394531,1447761,0.005634040231407678,0.005618228388648425,732240162.2024231
2018-05-11,505.774152114332,512.9066643567742,504.25966434304655,511.29449462890625,1183632,0.010914542862519916,0.010855409128922154,605184525.2666016
2018-05-14,513.9325159143518,535.6720567491319,512.8088753430932,527.611328125,2848754,0.03191278933667463,0.03141415703178857,1503034881.4414062
2018-05-15,510.02431344185743,513.4928576695123,483.6437455052096,494.8799133300781,7490877,-0.062036982623631665,-0.064044757857266,3707084560.5262756
2018-05-16,490.7274081746262,497.8110790741106,483.83916081314027,486.1352233886719,2261791,-0.017670327095239524,-0.017828311178645737,1099536273.0434875
2018-05-17,486.77035880498045,491.7044902977807,480.9080101874212,482.9598083496094,1338372,-0.006531958365262769,-0.0065533849613610435,646379884.6204834
2018-05-18,486.18408423380004,486.3794779503549,473.97085879493574,482.6178283691406,1158565,-0.0007080920079817199,-0.0007083428235349187,559144124.3244934
2018-05-21,482.6179025106942,489.99467988203816,476.07160074281774,478.4165344238281,1332552,-0.00870521911614719,-0.00874333087810454,637514909.779541
2018-05-22,480.66370391134205,485.30472949712464,468.98784866855345,470.5511474609375,1469055,-0.01644045804638239,-0.016577102107441923,691265515.9332275
2018-05-23,471.9190612463793,474.26399471765455,464.2003082371018,465.421630859375,1261911,-0.010901081910523525,-0.010960934070246793,587320675.6193848
2018-05-24,467.81542677518235,473.09156459946604,459.217327046817,464.1514587402344,1958399,-0.002729078398860274,-0.0027328091224845877,908993752.6454163
2018-05-25,467.7177403645197,476.3158400110738,462.68586712377777,470.4534912109375,1596757,0.013577534556947546,0.0134861857666842,751199905.2655029
2018-05-28,474.50826597437833,482.03162536130077,471.9679089205183,479.97979736328125,1975352,0.02024919855057994,0.020046909761278774,948129052.6811523
2018-05-29,480.1263282520599,486.28181196580374,478.31876486427535,482.91094970703125,957169,0.006106824411885592,0.006088253328233114,462227390.8201294
2018-05-30,480.7125316059686,493.41428548986613,473.48230843554643,489.70147705078125,1480953,0.014061655358756253,0.013963707421834509,725224871.5427856
