Date,open,high,low,close,volume,returns,log_returns,dollar_vol
2018-01-02,1074.380141534265,1078.1301594802833,1063.1770086971212,1071.333251953125,516171,-0.0007869502875579304,-0.0007872600954817608,552991155.9938965
2018-01-03,1077.1926358004137,1077.1926358004137,1064.3488703407365,1070.536376953125,593809,-0.0007438161734896198,-0.0007440929419913611,635694135.4621582
2018-01-04,1077.1926009177378,1104.3802296615277,1074.2863600437627,1098.8021240234375,729965,0.026403350394089475,0.026060798532677457,802087092.4627686
2018-01-05,1104.3803382395593,1117.5054016821346,1094.4896196544585,1111.17724609375,1151320,0.011262375453916063,0.011199427094586788,1279320586.9726562
2018-01-08,1115.6304074463305,1116.4272634204976,1100.1615824691335,1108.13037109375,928875,-0.002742024290644074,-0.002745790525563218,1029314598.449707
2018-01-09,1109.1617501203773,1122.3805430544296,1101.661712774363,1118.489990234375,699621,0.009348736764970944,0.009305307786322792,782519085.4577637
2018-01-10,1111.8800183841577,1114.7862586130639,1097.9111824487175,1103.8175048828125,1102382,-0.013118119500101999,-0.013204921989038455,1216828548.6677246
2018-01-11,1106.1615273855766,1115.5833784767788,1096.8802104092065,1114.6458740234375,475476,0.00980992699674088,0.00976212205066674,529987361.59716797
2018-01-12,1112.8179045768622,1118.0211006233772,1102.505354492325,1115.34912109375,390841,0.0006309152410657326,0.0006307162977182235,435924165.83740234
2018-01-15,1115.3020389062087,1132.6926754043157,1108.5519391268715,1128.8021240234375,723833,0.012061696804400501,0.011989534228709823,817064227.8382568
2018-01-16,1128.8022373584292,1128.8022373584292,1110.0052280494217,1114.4583740234375,557253,-0.012707054402833706,-0.01278847953645011,621035272.2996826
2018-01-17,1112.6305069595107,1121.6305282466074,1104.7554454177462,1119.1461181640625,506648,0.004206298099498573,0.0041974763569151705,567013142.4755859
2018-01-18,1120.3177788411595,1128.8490461515748,1107.1927169969954,1113.9896240234375,500762,-0.0046075253775478275,-0.004618172740518766,557843672.1052246
2018-01-19,1109.161666126125,1120.3179937217758,1104.2866879969818,1115.5367431640625,722692,0.0013888092916316541,0.001387845787986102,806189479.9907227
2018-01-22,1117.5053204387225,1119.0990322500113,1091.3489230200269,1102.5052490234375,942542,-0.01168181525214762,-0.011750583741095177,1039157502.4250488
2018-01-23,1102.5053760916444,1104.2397366606363,1083.9427397992254,1096.78662109375,1841634,-0.005186939413443059,-0.005200438282458815,2019879532.1513672
2018-01-24,1096.8802889090953,1098.4271942561072,1073.4895969008269,1079.1146240234375,1122469,-0.01611252064024038,-0.01624373871251798,1211272712.9129639
2018-01-25,1076.2550399035024,1088.8176216199352,1071.9893491516937,1078.5518798828125,1563047,-0.0005214869005545353,-0.000521622922139299,1685827280.1951904
2018-01-29,1081.8798452232634,1091.4892632592587,1075.8797954637218,1080.0517578125,1538762,0.0013906405038675018,0.0013896744588724895,1661942602.9550781
2018-01-30,1079.067784292095,1080.0052888831394,1053.2394870322307,1056.286376953125,1404578,-0.022003927763155184,-0.022249625073129928,1483636606.7680664
2018-01-31,1057.5053239012211,1068.5679253711116,1053.7553050221388,1057.78662109375,961596,0.0014203005674962021,0.0014192928946645395,1017163383.6972656
2018-02-01,1055.629887682608,1085.020625876778,1055.629887682608,1080.9425048828125,1103162,0.021890883593441046,0.02165471856036032,1192454695.5715332
2018-02-02,1076.2550262147035,1076.2550262147035,1053.7080001415516,1066.7862548828125,872105,-0.013096209961264038,-0.013182721464264273,930349626.8145752
2018-02-05,1051.1299248053422,1068.7550539273952,1044.661235768949,1063.2237548828125,1263378,-0.0033394693488916216,-0.0033450578218156397,1343253500.996338
2018-02-06,1040.629881713015,1056.5674564779893,1021.9735213057251,1040.8642578125,1055719,-0.02102990736204624,-0.021254185806962606,1098860173.3935547
2018-02-07,1045.3173790084572,1054.8798778649582,1037.3955128095927,1051.0361328125,854461,0.009772527900398176,0.009725085586761743,898069385.0791016
2018-02-08,1057.5050990321906,1060.59890972616,1040.6300176646555,1053.802001953125,1185917,0.0026315642766949754,0.0026281077741016627,1249721708.7502441
2018-02-09,1032.1924920631357,1070.8645540954737,1032.1924920631357,1060.083251953125,666922,0.00596055994234046,0.0059428660803306655,706992842.559082
2018-02-12,1066.8803182958798,1078.1303743763283,1064.911581370099,1072.88037109375,646362,0.012071805791712409,0.01199952268777048,693469102.4208984
2018-02-14,1072.50537097576,1072.50537097576,1056.5677911623088,1067.95849609375,691596,-0.004587533831924229,-0.00459808885865304,738595824.0644531
2018-02-15,1064.0674266357873,1068.6612207932535,1052.817374548008,1064.4892578125,471072,-0.003248476690751012,-0.0032537644456939988,501451083.65625
2018-02-16,1065.4738667502488,1075.3176640233482,1059.3800874859492,1072.364501953125,734476,0.007398143365775711,0.007370911331661272,787625989.9365234
2018-02-19,1073.4427631485044,1074.192812602405,1042.0832801676133,1050.333251953125,443677,-0.02054455361015206,-0.020758528706747537,466008706.22680664
2018-02-20,1053.7082939913319,1065.0052706760653,1043.2082878035137,1056.0052490234375,662281,0.005400188044856424,0.005385659311188462,699372212.3284912
2018-02-21,1061.5832984748115,1062.427075493214,1045.3176167438198,1056.755126953125,720563,0.0007101081461298175,0.0007098561386348772,761458644.5427246
2018-02-22,1052.5363752519056,1056.005210958573,1032.1925710807661,1048.223876953125,1559398,-0.0080730623229599,-0.0081058259449136,1634598217.2729492
2018-02-23,1047.2393247618536,1047.2393247618536,1030.2235971928567,1032.9423828125,1140118,-0.01457846408254293,-0.014685774110627544,1177676203.6074219
2018-02-26,1040.630105092281,1040.630105092281,1026.9425608325162,1035.755126953125,1170283,0.0027230406917435612,0.0027193399331276965,1212126617.236084
2018-02-27,1035.754926956602,1043.4424174089079,1030.270434557217,1040.9580078125,610498,0.005023273092241709,0.005010698548625952,635502781.8535156
2018-02-28,1035.0051844525833,1053.7552783738258,1030.5520371462883,1047.8958740234375,1006756,0.006664885767598827,0.006642773612069433,1054975458.5483398
2018-03-01,1050.0048647020428,1053.9423371680962,1038.754812580235,1048.9736328125,736217,0.0010284979794075166,0.0010279694377323468,772272221.0283203
2018-03-05,1040.8642002068004,1045.1766973103606,1031.2547806597438,1036.8328857421875,529677,-0.01157392968759452,-0.011641428938308681,549186532.4212646
2018-03-06,1043.0673085090132,1043.0673085090132,1031.2547766825753,1032.7547607421875,702294,-0.003933251979252983,-0.003941007557928961,725297471.9406738
2018-03-07,1036.5988239994917,1040.583218678472,1026.8019463889457,1038.052001953125,669686,0.005129234366473057,0.005116124653298428,695168892.9799805
2018-03-08,1045.1301371593634,1059.3801608024164,1038.3800356114893,1057.130126953125,751329,0.01837877578782554,0.018211927301376187,794252521.1535645
2018-03-09,1062.1924226454653,1068.7549530589852,1054.1299081685731,1058.5361328125,1158526,0.0013300215588665232,0.0013291378636619967,1226341631.8027344
2018-03-12,1060.4109861709167,1063.1297712608402,1050.0047123563854,1060.7860107421875,527293,0.0021254616256789483,0.002123206027677033,559345037.9622803
2018-03-13,1054.8802090220215,1071.5678379264298,1054.8802090220215,1069.03662109375,711550,0.00777782726017473,0.007747735891328789,760673007.7392578
2018-03-14,1068.7083418656832,1072.9271126401823,1060.4114488974647,1065.9427490234375,1360578,-0.002894074916860334,-0.002898270849189655,1450298253.5808105
2018-03-15,1061.3958417699473,1091.0209638506578,1061.3958417699473,1088.25537109375,1146702,0.020932289366154322,0.020716219026641735,1247904610.5439453
2018-03-16,1087.4116955935172,1087.4116955935172,1048.5052515748375,1052.5833740234375,1946844,-0.03277906823879062,-0.03332833830984799,2049215626.2172852
2018-03-19,1051.083066524924,1053.7549311399687,1029.2860895240306,1033.6455078125,855444,-0.017991796828928264,-0.01815561712786547,884225847.7851562
2018-03-20,1033.129984528567,1047.192552376052,1023.8955878636792,1037.3487548828125,720303,0.0035827051366474905,0.003576302536461478,747205420.1883545
2018-03-21,1037.3487223628645,1046.255015053734,1031.254943153322,1034.5831298828125,612237,-0.002666051303365613,-0.0026696115474117575,633410071.6900635
2018-03-22,1033.5987568807202,1040.6300409411333,1031.2549955272493,1037.9112548828125,478426,0.0032168753808861084,0.0032117123069584437,496563730.02856445
2018-03-23,1026.4269946399515,1050.0052606582087,1024.7395548502172,1043.1146240234375,828523,0.005013308330694022,0.00500078354345653,864244457.6397705
2018-03-26,1042.5049344782124,1049.0674655405753,1032.192385665928,1047.7081298828125,479675,0.004403644387284356,0.004393976716936745,502559397.2015381
2018-03-27,1049.0675947507282,1066.8801812567729,1046.6301058013537,1060.411376953125,672158,0.012124795740330319,0.012051879211430196,712763990.3100586
2018-03-28,1060.176757364561,1060.176757364561,1045.3173365007985,1050.3798828125,699839,-0.009460002371389553,-0.009505032408342075,735096806.8076172
2018-04-02,1050.3798760175887,1081.8330776780401,1042.0360645780224,1078.2706298828125,428944,0.026553009560343233,0.026206597215433863,462517717.0644531
2018-04-03,1073.4896604281223,1084.4114971843514,1067.7707909618591,1080.0989990234375,561118,0.0016956495799422822,0.001694213589255469,606062990.1340332
2018-04-04,1084.5991184826757,1085.3490535142819,1055.6302028172452,1065.0052490234375,607619,-0.013974413469179159,-0.014072974887773905,647117424.4063721
2018-04-05,1079.817689587832,1084.5052119172783,1066.45825094891,1071.473876953125,549137,0.006073799106266264,0.00605542793946205,588385950.3684082
2018-04-06,1071.4738971512809,1080.7552144268375,1064.0675888428482,1072.036376953125,395626,0.0005249778012317297,0.0005248400485951123,424125463.66845703
2018-04-09,1073.442617089739,1098.2864855202001,1068.7081737443298,1085.114501953125,837112,0.012199329501457523,0.012125517380566754,908362370.9589844
2018-04-10,1086.5675146178341,1094.7237564833395,1080.848761113398,1084.4581298828125,546269,-0.0006048873820514444,-0.0006050704002312402,592405858.1529541
2018-04-11,1084.692777156962,1086.1927615663776,1069.8801593154801,1083.6146240234375,419140,-0.0007778132102399526,-0.0007781158638838093,454186233.5131836
2018-04-12,1077.6614734574584,1096.7865890456505,1073.348975442835,1092.3802490234375,360744,0.008089245757364694,0.008056703187670563,394069620.55371094
2018-04-13,1096.880084556435,1103.301966436702,1085.4893838669823,1089.5675048828125,639579,-0.0025748764161009907,-0.002578197111859019,696864495.2054443
2018-04-16,1087.505427849801,1114.2243112064557,1082.8179044538967,1105.1773681640625,550645,0.014326660084203802,0.0142250032742487,608560391.8927002
2018-04-17,1106.2552668772587,1113.1928227951205,1095.9427177792504,1102.5052490234375,432543,-0.002417819272814037,-0.0024207469177950428,476880927.9283447
2018-04-18,1105.3177329847654,1110.9427596157311,1095.005184161328,1099.0364990234375,465763,-0.00314624352407622,-0.0031512033541870356,511890536.8946533
2018-04-19,1098.7549121512875,1112.817475020118,1089.942349865201,1092.1923828125,620949,-0.0062273784510513686,-0.006246849449845889,678195767.9150391
