Date,open,high,low,close,volume,returns,log_returns,dollar_vol
2018-01-02,1092.0235608010428,1097.348126100622,1073.4824952246665,1083.513671875,334784,-0.003846396863356638,-0.0038538132715128875,362743041.125
2018-01-03,1078.2367378766692,1092.8320135188062,1068.8236299238054,1071.7711181640625,670232,-0.010837476273480862,-0.010896629488738908,718335300.0693359
2018-01-04,1078.7596916485954,1117.6960405518446,1072.9121426882564,1112.751708984375,1012807,0.03823632688527012,0.03752343405628288,1127002720.121338
2018-01-05,1118.8369881418791,1159.0570224784258,1113.1796146897423,1154.4930419921875,1014661,0.03751181208781107,0.03682535820278418,1171419064.480835
2018-01-08,1153.3519452143225,1155.7290231501884,1131.4829214276697,1143.84375,898877,-0.009224214962622157,-0.009267021474453258,1028174838.46875
2018-01-09,1145.26999652534,1182.7326018154258,1137.7109839370946,1176.647216796875,1064611,0.028678276029287186,0.028274751044515597,1252671570.121338
2018-01-10,1179.8323236940953,1188.056949244794,1164.001026535676,1174.745361328125,745166,-0.001616334481228221,-0.001617642159092334,875380301.9194336
2018-01-11,1183.7783979716069,1193.9522075932728,1161.7667426097807,1182.82763671875,755517,0.006880023243069022,0.006856463880735516,893646387.6108398
2018-01-12,1186.15557097038,1187.962122371833,1152.2586397915218,1161.57666015625,793507,-0.0179662496062839,-0.01812960218190219,921719210.8706055
2018-01-15,1162.9552232396425,1199.086594337618,1161.5764505939826,1181.7340087890625,1910875,0.017353438067618354,0.017204586748495558,2258145974.0448
2018-01-16,1181.8766520457543,1196.1390017818146,1154.825696473301,1168.5650634765625,860989,-0.011143747420787498,-0.011206304152521648,1006121665.4376221
2018-01-17,1169.516112641093,1193.2867767057476,1153.5421807102198,1186.6309814453125,718085,0.015459916211257196,0.01534162928610465,852101908.3111572
2018-01-18,1188.2472524242182,1193.2866714490879,1143.8437085393373,1157.7257080078125,593063,-0.024359109014913338,-0.02466069983987491,686604281.5682373
2018-01-19,1160.0078009929737,1170.989857351814,1126.8240289866258,1163.38330078125,746121,0.004886816224520807,0.0048749144967364,868024711.762207
2018-01-22,1163.8110335062952,1180.830813866244,1146.6961653664966,1178.3587646484375,426132,0.012872338684190243,0.012790194308384718,502136377.09716797
2018-01-23,1183.778519565558,1186.2031416295592,1156.2045759341631,1163.24072265625,975410,-0.01282974459539743,-0.012912756547699937,1134636633.2861328
2018-01-24,1164.7620627664837,1164.7620627664837,1136.4749594617044,1141.0389404296875,457560,-0.01908614596630087,-0.019270637713361374,522093777.5830078
2018-01-25,1136.237088279992,1152.2585634249822,1125.682927399071,1134.33544921875,889953,-0.005874901349478212,-0.005892226471323963,1009505236.0385742
