config,annual_return,sharpe,max_dd,win_rate,gt_score
Buy & Hold Nifty 50,0.1116011972937915,0.2730701935684465,-0.38439852452742035,0.5397590361445783,
Base Mean Reversion,0.1867594696479627,0.6475485764233868,-0.35670785120104703,0.5342601787487586,1.5341658193302108
MR + Regime Filter,0.10508223923377652,0.2565804606907918,-0.3172237285668362,0.5316326530612245,1.34890370759451
MR + Regime + Volume,0.10476541454610781,0.25943312633753196,-0.320167895199285,0.5408580183861083,1.0461116995729294
Full AMIOS (All Filters),0.10659057541928708,0.27116073991487755,-0.3201678951992852,0.540194572452637,1.0771507587203486
